artist,song,section,url,chord_progression
Buddy Holly,Peggy Sue,Chorus,http://www.hooktheory.com/theorytab/view/buddy-holly/peggy-sue#chorus,"1,4,1,4"
DC Talk,Hardway,Intro and Verse,http://www.hooktheory.com/theorytab/view/dc-talk/hardway#intro-and-verse,"1,4,1,4"
REM,Everybody Hurts,Intro,http://www.hooktheory.com/theorytab/view/rem/everybody-hurts#intro,"1,4,1,4"
U2,All I Want Is You,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/u2/all-i-want-is-you#verse-and-pre-chorus,"1,4,1,4"
U2,Running to Stand Still,Verse,http://www.hooktheory.com/theorytab/view/u2/running-to-stand-still#verse,"1,4,1,4"
Jon Foreman,The House of God Forever,Verse,http://www.hooktheory.com/theorytab/view/jon-foreman/the-house-of-god-forever#verse,"1,4,1,4"
Buffalo Springfield,For What It's Worth,Intro and Verse,http://www.hooktheory.com/theorytab/view/buffalo-springfield/for-what-its-worth#intro-and-verse,"1,4,1,4"
U2,Angel of Harlem,Intro and Verse,http://www.hooktheory.com/theorytab/view/u2/angel-of-harlem#intro-and-verse,"1,4,1,4"
Bonnie Tyler,Total Eclipse of the Heart,Pre-Chorus,http://www.hooktheory.com/theorytab/view/bonnie-tyler/total-eclipse-of-the-heart#pre-chorus,"1,4,1,4"
Chumbawamba,Tubthumping,Intro and Verse,http://www.hooktheory.com/theorytab/view/chumbawamba/tubthumping#intro-and-verse,"1,4,1,4"
The Modern Lovers,Road Runner,Intro and Verse,http://www.hooktheory.com/theorytab/view/the-modern-lovers/road-runner#intro-and-verse,"1,4,1,4"
Ben Folds Five,Brick,Intro,http://www.hooktheory.com/theorytab/view/ben-folds-five/brick#intro,"1,4,1,4"
Flaming Jets,Shiver,Chorus,http://www.hooktheory.com/theorytab/view/flaming-jets/shiver#chorus,"1,4,1,4"
INXS,Never Tear us Apart,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/inxs/never-tear-us-apart#verse-and-pre-chorus,"1,4,1,4"
Birds of Tokyo,Lanterns,Intro,http://www.hooktheory.com/theorytab/view/birds-of-tokyo/lanterns#intro,"1,4,1,4"
Birds of Tokyo,Lanterns,Verse,http://www.hooktheory.com/theorytab/view/birds-of-tokyo/lanterns#verse,"1,4,1,4"
Birds of Tokyo,Lanterns,Chorus,http://www.hooktheory.com/theorytab/view/birds-of-tokyo/lanterns#chorus,"1,4,1,4"
The Head and The Heart,Shake,Chorus,http://www.hooktheory.com/theorytab/view/the-head-and-the-heart/shake#chorus,"1,4,1,4"
Eric Clapton,Lay Down Sally,Intro and Verse,http://www.hooktheory.com/theorytab/view/eric-clapton/lay-down-sally#intro-and-verse,"1,4,1,4"
Johnny Nash,I Can See Clearly Now,Verse,http://www.hooktheory.com/theorytab/view/johnny-nash/i-can-see-clearly-now#verse,"1,4,1,4"
Sarah Blasko,Flame Trees,Verse,http://www.hooktheory.com/theorytab/view/sarah-blasko/flame-trees#verse,"1,4,1,4"
Sinead O'Connor,Silent Night,Verse,http://www.hooktheory.com/theorytab/view/sinead-oconnor/silent-night#verse,"1,4,1,4"
U2,Love Comes to Town,Verse,http://www.hooktheory.com/theorytab/view/u2/love-comes-to-town#verse,"1,4,1,4"
New Politics,Harlem,Intro and Verse,http://www.hooktheory.com/theorytab/view/new-politics/harlem#intro-and-verse,"1,4,1,4"
Alex Lloyd,Amazing,Intro,http://www.hooktheory.com/theorytab/view/alex-lloyd/amazing#intro,"1,4,1,4"
Alex Lloyd,Amazing,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/alex-lloyd/amazing#verse-and-pre-chorus,"1,4,1,4"
The Beach Boys,Kokomo,Chorus,http://www.hooktheory.com/theorytab/view/the-beach-boys/kokomo#chorus,"1,4,1,4"
Jack Johnson,Let It Be Sung,Verse,http://www.hooktheory.com/theorytab/view/jack-johnson/let-it-be-sung#verse,"1,4,1,4"
Jack Johnson,I Got You,Intro,http://www.hooktheory.com/theorytab/view/jack-johnson/i-got-you#intro,"1,4,1,4"
Jack Johnson,I Got You,Verse,http://www.hooktheory.com/theorytab/view/jack-johnson/i-got-you#verse,"1,4,1,4"
Jack Johnson,I Got You,Chorus,http://www.hooktheory.com/theorytab/view/jack-johnson/i-got-you#chorus,"1,4,1,4"
Tan Bionica,Ciudad Magica,Pre-Chorus and Chorus,http://www.hooktheory.com/theorytab/view/tan-bionica/ciudad-magica#pre-chorus-and-chorus,"1,4,1,4"
They Might Be Giants,Birdhouse In Your Soul,Chorus,http://www.hooktheory.com/theorytab/view/they-might-be-giants/birdhouse-in-your-soul#chorus,"1,4,1,4"
Camille Saint-Saens,Organ Symphony No 3 Op 78 - If I Had Words,Chorus,http://www.hooktheory.com/theorytab/view/camille-saint-saens/organ-symphony-no-3-op-78---if-i-had-words#chorus,"1,4,1,6"
Anna Kendrick,Cups - Pitch Perfect's 'When I'm Gone',Verse,http://www.hooktheory.com/theorytab/view/anna-kendrick/cups---pitch-perfects-when-im-gone#verse,"1,4,1,6"
Viper,You'll Cowards Don't Even Smoke Crack,Intro,http://www.hooktheory.com/theorytab/view/viper/youll-cowards-dont-even-smoke-crack#intro,"1,4,1,6"
Viper,You'll Cowards Don't Even Smoke Crack,Chorus,http://www.hooktheory.com/theorytab/view/viper/youll-cowards-dont-even-smoke-crack#chorus,"1,4,1,6"
