artist,song,section,url,chord_progression
Nintendo,Earthbound - Winters White,Verse,http://www.hooktheory.com/theorytab/view/nintendo/earthbound---winters-white#verse,"1,6,16,5"
Nikolai Rimsky-Korsakov,Procession Of The Nobles,Chorus,http://www.hooktheory.com/theorytab/view/nikolai-rimsky-korsakov/procession-of-the-nobles#chorus,"1,6,16,5"
Audien feat Ruby Prophet,Circles,Instrumental,http://www.hooktheory.com/theorytab/view/audien-feat-ruby-prophet/circles#instrumental,"1,6,16,2"
The Beatles,Lovely Rita,Verse,http://www.hooktheory.com/theorytab/view/the-beatles/lovely-rita#verse,"1,5,1,4"
Journey,Don't Stop Believing,Pre-Chorus,http://www.hooktheory.com/theorytab/view/journey/dont-stop-believing#pre-chorus,"1,5,1,4"
Wally Badarou,The Dachstein Angels,Verse,http://www.hooktheory.com/theorytab/view/wally-badarou/the-dachstein-angels#verse,"1,5,1,4"
They Might Be Giants,Hopeless Bleak Despair,Chorus,http://www.hooktheory.com/theorytab/view/they-might-be-giants/hopeless-bleak-despair#chorus,"1,5,1,4"
Little Mermaid,Under the Sea,Verse,http://www.hooktheory.com/theorytab/view/little-mermaid/under-the-sea#verse,"1,5,1,4"
Sam Cooke,Another Saturday Night,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/sam-cooke/another-saturday-night#verse-and-pre-chorus,"1,5,1,4"
John Legend,All of Me,Pre-Chorus and Chorus,http://www.hooktheory.com/theorytab/view/john-legend/all-of-me#pre-chorus-and-chorus,"1,5,1,6"
Walter Murphy,The Freaking FCC,Intro and Verse,http://www.hooktheory.com/theorytab/view/walter-murphy/the-freaking-fcc#intro-and-verse,"1,5,1,6"
George Harrison,I Got My Mind Set On You,Chorus,http://www.hooktheory.com/theorytab/view/george-harrison/i-got-my-mind-set-on-you#chorus,"1,5,1,6"
Phineas and Ferb,Triangulation,Chorus,http://www.hooktheory.com/theorytab/view/phineas-and-ferb/triangulation#chorus,"1,5,1,6"
The Gaslight Anthem,Blue Dahlia,Chorus,http://www.hooktheory.com/theorytab/view/the-gaslight-anthem/blue-dahlia#chorus,"1,5,1,6"
Bare Naked Ladies,Big Bang Theory Theme Song,Intro,http://www.hooktheory.com/theorytab/view/bare-naked-ladies/big-bang-theory-theme-song#intro,"1,5,1,5"
Celine Dion,My Heart Will Go On,Verse,http://www.hooktheory.com/theorytab/view/celine-dion/my-heart-will-go-on#verse,"1,5,1,5"
Creedence Clearwater Revival,Up Around the Bend,Verse,http://www.hooktheory.com/theorytab/view/creedence-clearwater-revival/up-around-the-bend#verse,"1,5,1,5"
Michael Jackson,Black or White,Chorus,http://www.hooktheory.com/theorytab/view/michael-jackson/black-or-white#chorus,"1,5,1,5"
Michael Jackson,Black or White,Verse,http://www.hooktheory.com/theorytab/view/michael-jackson/black-or-white#verse,"1,5,1,5"
Skid Row,Wasted Time,Pre-Chorus and Chorus,http://www.hooktheory.com/theorytab/view/skid-row/wasted-time#pre-chorus-and-chorus,"1,5,1,5"
The Beatles,A Day In The Life,Bridge,http://www.hooktheory.com/theorytab/view/the-beatles/a-day-in-the-life#bridge,"1,5,1,5"
The Beatles,In My Life,Intro and Verse,http://www.hooktheory.com/theorytab/view/the-beatles/in-my-life#intro-and-verse,"1,5,1,5"
Willie Nelson,Blue Eyes Cryin,Chorus,http://www.hooktheory.com/theorytab/view/willie-nelson/blue-eyes-cryin#chorus,"1,5,1,5"
Jona Lewie,Stop The Cavalry,Bridge,http://www.hooktheory.com/theorytab/view/jona-lewie/stop-the-cavalry#bridge,"1,5,1,5"
Jona Lewie,Stop The Cavalry,Verse,http://www.hooktheory.com/theorytab/view/jona-lewie/stop-the-cavalry#verse,"1,5,1,5"
Queen,Bohemian Rhapsody,Bridge,http://www.hooktheory.com/theorytab/view/queen/bohemian-rhapsody#bridge,"1,5,1,5"
Gary Portnoy,Where Everybody Knows Your Name - Cheers Theme,Verse,http://www.hooktheory.com/theorytab/view/gary-portnoy/where-everybody-knows-your-name---cheers-theme#verse,"1,5,1,5"
Taylor Swift,Red,Chorus,http://www.hooktheory.com/theorytab/view/taylor-swift/red#chorus,"1,5,1,5"
Rihanna,Who's that chick,Pre-Chorus,http://www.hooktheory.com/theorytab/view/rihanna/whos-that-chick#pre-chorus,"1,5,1,5"
The Wreckers,Leave The Pieces,Chorus,http://www.hooktheory.com/theorytab/view/the-wreckers/leave-the-pieces#chorus,"1,5,1,5"
Pink Floyd,Comfortably Numb,Pre-Chorus,http://www.hooktheory.com/theorytab/view/pink-floyd/comfortably-numb#pre-chorus,"1,5,1,5"
The Beatles,Yellow Submarine,Chorus,http://www.hooktheory.com/theorytab/view/the-beatles/yellow-submarine#chorus,"1,5,1,5"
The Beatles,Get Back,Verse,http://www.hooktheory.com/theorytab/view/the-beatles/get-back#verse,"1,5,1,5"
Britney Spears,Oops I Did It Again,Chorus,http://www.hooktheory.com/theorytab/view/britney-spears/oops-i-did-it-again#chorus,"1,5,1,5"
Bob Dylan,Don't Think Twice It's Alright,Intro and Verse,http://www.hooktheory.com/theorytab/view/bob-dylan/dont-think-twice-its-alright#intro-and-verse,"1,5,1,5"
James Gang,Funk 49,Intro and Verse,http://www.hooktheory.com/theorytab/view/james-gang/funk-49#intro-and-verse,"1,5,1,5"
Little Mermaid,Under the Sea,Intro,http://www.hooktheory.com/theorytab/view/little-mermaid/under-the-sea#intro,"1,5,1,5"
Emilia,Big Big World,Chorus,http://www.hooktheory.com/theorytab/view/emilia/big-big-world#chorus,"1,5,1,5"
Erwin Beekveld,They're Taking The Hobbits To Isengard,Intro,http://www.hooktheory.com/theorytab/view/erwin-beekveld/theyre-taking-the-hobbits-to-isengard#intro,"1,5,1,5"
Bryan Adams,Summer of 69,Intro and Verse,http://www.hooktheory.com/theorytab/view/bryan-adams/summer-of-69#intro-and-verse,"1,5,1,5"
Bryan Adams,Summer of 69,Bridge,http://www.hooktheory.com/theorytab/view/bryan-adams/summer-of-69#bridge,"1,5,1,5"
Russian tradtional,Oh at this evening,Verse,http://www.hooktheory.com/theorytab/view/russian-tradtional/oh-at-this-evening#verse,"1,5,1,5"
Casting Crowns,O Come All Ye Faithful - Christmas,Verse,http://www.hooktheory.com/theorytab/view/casting-crowns/o-come-all-ye-faithful---christmas#verse,"1,5,1,5"
Oyuugi Wagamama Dan x PaRADEiS,Liverty,Verse,http://www.hooktheory.com/theorytab/view/oyuugi-wagamama-dan-x-paradeis/liverty#verse,"1,5,1,5"
Alligatoah,Wer Weiss,Chorus,http://www.hooktheory.com/theorytab/view/alligatoah/wer-weiss#chorus,"1,5,1,5"
Jake Bugg,Lightning Bolt,Chorus,http://www.hooktheory.com/theorytab/view/jake-bugg/lightning-bolt#chorus,"1,5,1,5"
Les Friction,Come Back to Me,Pre-Chorus,http://www.hooktheory.com/theorytab/view/les-friction/come-back-to-me#pre-chorus,"1,5,1,5"
The Stone Roses,I Wanna Be Adored,Chorus,http://www.hooktheory.com/theorytab/view/the-stone-roses/i-wanna-be-adored#chorus,"1,5,1,5"
Andrew Lloyd Webber,Music of the Night,Chorus,http://www.hooktheory.com/theorytab/view/andrew-lloyd-webber/music-of-the-night#chorus,"1,5,1,5"
Tegan and Sara,Everything Is Awesome,Chorus,http://www.hooktheory.com/theorytab/view/tegan-and-sara/everything-is-awesome#chorus,"1,5,1,5"
NiR-Gerda,Rasen'nawatashi--My Spiral ,Chorus,http://www.hooktheory.com/theorytab/view/nir-gerda/rasennawatashi--my-spiral-#chorus,"1,5,1,5"
Rasen'nawatashi--My Spiral,NiR-Gerda,Chorus,http://www.hooktheory.com/theorytab/view/rasennawatashi--my-spiral/nir-gerda#chorus,"1,5,1,5"
Denver the Last Dinosaur,Denver the Last Dinosaur Theme Song,Chorus,http://www.hooktheory.com/theorytab/view/denver-the-last-dinosaur/denver-the-last-dinosaur-theme-song#chorus,"1,5,1,5"
Nintendo,Tetris GB - B-Type Music,Verse,http://www.hooktheory.com/theorytab/view/nintendo/tetris-gb---b-type-music#verse,"1,5,1,5"
Twisted Sister,We're Not Gonna Take It,Verse,http://www.hooktheory.com/theorytab/view/twisted-sister/were-not-gonna-take-it#verse,"1,5,1,5"
Mike Oldfield,Moonlight Shadow feat Maggie Reilly,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/mike-oldfield/moonlight-shadow-feat-maggie-reilly#verse-and-pre-chorus,"1,5,1,5"
Queen,You're My Best Friend,Verse,http://www.hooktheory.com/theorytab/view/queen/youre-my-best-friend#verse,"1,5,1,5"
Martin Solveig,Hello ft Dragonette,Chorus,http://www.hooktheory.com/theorytab/view/martin-solveig/hello-ft-dragonette#chorus,"1,5,1,5"
Jonathan Coulton,Shop Vac,Verse,http://www.hooktheory.com/theorytab/view/jonathan-coulton/shop-vac#verse,"1,5,1,5"
Billy Joel,She's Always a Woman,Verse,http://www.hooktheory.com/theorytab/view/billy-joel/shes-always-a-woman#verse,"1,5,1,2"
Linkin Park,In The End,Chorus,http://www.hooktheory.com/theorytab/view/linkin-park/in-the-end#chorus,"1,5,1,2"
Manowar,Heart Of Steel,Chorus,http://www.hooktheory.com/theorytab/view/manowar/heart-of-steel#chorus,"1,5,1,2"
Starbomb,Smash,Chorus,http://www.hooktheory.com/theorytab/view/starbomb/smash#chorus,"1,5,1,2"
Grateful Dead,Sugaree,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/grateful-dead/sugaree#verse-and-pre-chorus,"1,5,1,2"
Marcus Warner,Liberation,Chorus,http://www.hooktheory.com/theorytab/view/marcus-warner/liberation#chorus,"1,5,1,2"
The Kingsmen,Louie Louie,Chorus,http://www.hooktheory.com/theorytab/view/the-kingsmen/louie-louie#chorus,"1,5,1,2"
Josh Groban,O Holy Night,Chorus,http://www.hooktheory.com/theorytab/view/josh-groban/o-holy-night#chorus,"1,5,1,2"
Marek Grechuta,Dni ktorych nie znamy,Verse,http://www.hooktheory.com/theorytab/view/marek-grechuta/dni-ktorych-nie-znamy#verse,"1,5,1,2"
Sophie B Hawkins,As I Lay Me Down,Intro and Verse,http://www.hooktheory.com/theorytab/view/sophie-b-hawkins/as-i-lay-me-down#intro-and-verse,"1,5,1,3"
A Great Big World,Say Something,Verse,http://www.hooktheory.com/theorytab/view/a-great-big-world/say-something#verse,"1,5,1,3"
Jean Jacques Perrey,Brazilian Flower,Chorus,http://www.hooktheory.com/theorytab/view/jean-jacques-perrey/brazilian-flower#chorus,"1,5,1,3"
Save Ferris,Come on Eileen,Verse,http://www.hooktheory.com/theorytab/view/save-ferris/come-on-eileen#verse,"1,5,1,3"
Radical Face,Welcome Home,Verse,http://www.hooktheory.com/theorytab/view/radical-face/welcome-home#verse,"1,5,1,3"
Dexys Midnight Runners,Come On Eileen,Verse,http://www.hooktheory.com/theorytab/view/dexys-midnight-runners/come-on-eileen#verse,"1,5,1,3"
Irish Stew of Sindidun,I Will Never Be Your Friend,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/irish-stew-of-sindidun/i-will-never-be-your-friend#verse-and-pre-chorus,"1,5,1,3"
FKA Twigs,Water Me,Intro and Verse,http://www.hooktheory.com/theorytab/view/fka-twigs/water-me#intro-and-verse,"1,5,1,3"
Cheryl Cole,Fight For This Love,Pre-Chorus and Chorus,http://www.hooktheory.com/theorytab/view/cheryl-cole/fight-for-this-love#pre-chorus-and-chorus,"1,5,1,3"
Bonnie Tyler,It's a Heartache,Verse,http://www.hooktheory.com/theorytab/view/bonnie-tyler/its-a-heartache#verse,"1,5,1,3"
Arty,Zara,Chorus,http://www.hooktheory.com/theorytab/view/arty/zara#chorus,"1,5,1,27"
Nicki Minaj,The Night Is Still Young,Chorus,http://www.hooktheory.com/theorytab/view/nicki-minaj/the-night-is-still-young#chorus,"1,5,1,27"
David Bowie,Heroes,Chorus,http://www.hooktheory.com/theorytab/view/david-bowie/heroes#chorus,"1,5,1,47"
The Gaslight Anthem,The '59 Sound,Pre-Chorus and Chorus,http://www.hooktheory.com/theorytab/view/the-gaslight-anthem/the-59-sound#pre-chorus-and-chorus,"1,5,1,47"
Stevie Wonder,For Once In My Life,Verse,http://www.hooktheory.com/theorytab/view/stevie-wonder/for-once-in-my-life#verse,"1,5,1,47"
Weird Al Yankovic,Since You've Been Gone,Chorus,http://www.hooktheory.com/theorytab/view/weird-al-yankovic/since-youve-been-gone#chorus,"1,5,1,67"
Britt Nicole,Gold,Verse,http://www.hooktheory.com/theorytab/view/britt-nicole/gold#verse,"1,5,1,67"
Ceoma feat The Larx,Love Is More -Rob Mayth Remix-,Instrumental,http://www.hooktheory.com/theorytab/view/ceoma-feat-the-larx/love-is-more--rob-mayth-remix-#instrumental,"1,5,1,16"
Denis M Hannigan,Recess Theme,Chorus,http://www.hooktheory.com/theorytab/view/denis-m-hannigan/recess-theme#chorus,"1,5,1,16"
Blink 182,All The Small Things,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/blink-182/all-the-small-things#verse-and-pre-chorus,"1,5,4,1"
Bruno Mars,The Lazy Song,Chorus,http://www.hooktheory.com/theorytab/view/bruno-mars/the-lazy-song#chorus,"1,5,4,1"
Bryan Adams,Everything I Do,Verse,http://www.hooktheory.com/theorytab/view/bryan-adams/everything-i-do#verse,"1,5,4,1"
Cascada,Every Time We Touch,Verse,http://www.hooktheory.com/theorytab/view/cascada/every-time-we-touch#verse,"1,5,4,1"
Creedence Clearwater Revival,Bad Moon Rising,Chorus,http://www.hooktheory.com/theorytab/view/creedence-clearwater-revival/bad-moon-rising#chorus,"1,5,4,1"
Creedence Clearwater Revival,Bad Moon Rising,Verse,http://www.hooktheory.com/theorytab/view/creedence-clearwater-revival/bad-moon-rising#verse,"1,5,4,1"
Creedence Clearwater Revival,Up Around the Bend,Chorus,http://www.hooktheory.com/theorytab/view/creedence-clearwater-revival/up-around-the-bend#chorus,"1,5,4,1"
Five For Fighting,100 Years,Chorus Lead-Out,http://www.hooktheory.com/theorytab/view/five-for-fighting/100-years#chorus-lead-out,"1,5,4,1"
Frog Fractions Soundtrack,Rimushotto Bungie Jump,Chorus,http://www.hooktheory.com/theorytab/view/frog-fractions-soundtrack/rimushotto-bungie-jump#chorus,"1,5,4,1"
Gym Class Heroes,Ass Back Home,Chorus,http://www.hooktheory.com/theorytab/view/gym-class-heroes/ass-back-home#chorus,"1,5,4,1"
Lady Gaga,Born This Way,Verse,http://www.hooktheory.com/theorytab/view/lady-gaga/born-this-way#verse,"1,5,4,1"
Missy Higgins,Night Minds,Chorus,http://www.hooktheory.com/theorytab/view/missy-higgins/night-minds#chorus,"1,5,4,1"
Missy Higgins,Night Minds,Verse,http://www.hooktheory.com/theorytab/view/missy-higgins/night-minds#verse,"1,5,4,1"
Neon Trees,Animal,Chorus,http://www.hooktheory.com/theorytab/view/neon-trees/animal#chorus,"1,5,4,1"
NOFX,Leave It Alone,Intro,http://www.hooktheory.com/theorytab/view/nofx/leave-it-alone#intro,"1,5,4,1"
Taylor Swift,We Are Never Ever Getting Back Together,Chorus,http://www.hooktheory.com/theorytab/view/taylor-swift/we-are-never-ever-getting-back-together#chorus,"1,5,4,1"
The Beatles,Nowhere Man,Solo,http://www.hooktheory.com/theorytab/view/the-beatles/nowhere-man#solo,"1,5,4,1"
The Beatles,Nowhere Man,Verse,http://www.hooktheory.com/theorytab/view/the-beatles/nowhere-man#verse,"1,5,4,1"
The J Geils Band,Centerfold,Intro,http://www.hooktheory.com/theorytab/view/the-j-geils-band/centerfold#intro,"1,5,4,1"
Third Eye Blind,How's It Going To Be,Intro,http://www.hooktheory.com/theorytab/view/third-eye-blind/hows-it-going-to-be#intro,"1,5,4,1"
Third Eye Blind,How's It Going To Be,Verse,http://www.hooktheory.com/theorytab/view/third-eye-blind/hows-it-going-to-be#verse,"1,5,4,1"
Tim McGraw,Where The Green Grass Grows,Verse,http://www.hooktheory.com/theorytab/view/tim-mcgraw/where-the-green-grass-grows#verse,"1,5,4,1"
Vampire Weekend,A-Punk,Verse,http://www.hooktheory.com/theorytab/view/vampire-weekend/a-punk#verse,"1,5,4,1"
Green Day,21 Guns,Chorus,http://www.hooktheory.com/theorytab/view/green-day/21-guns#chorus,"1,5,4,1"
Otis Redding,Sittin' On The Dock of the Bay,Bridge,http://www.hooktheory.com/theorytab/view/otis-redding/sittin-on-the-dock-of-the-bay#bridge,"1,5,4,1"
Hefner,The Day That Thatcher Dies,Verse,http://www.hooktheory.com/theorytab/view/hefner/the-day-that-thatcher-dies#verse,"1,5,4,1"
Fuel,Hemorrhage - In My Hands,Pre-Chorus and Chorus,http://www.hooktheory.com/theorytab/view/fuel/hemorrhage---in-my-hands#pre-chorus-and-chorus,"1,5,4,1"
Kambua Manundu,Again,Pre-Chorus and Chorus,http://www.hooktheory.com/theorytab/view/kambua-manundu/again#pre-chorus-and-chorus,"1,5,4,1"
The Eagles,Take It Easy,Verse,http://www.hooktheory.com/theorytab/view/the-eagles/take-it-easy#verse,"1,5,4,1"
The Kinks,Lola,Bridge,http://www.hooktheory.com/theorytab/view/the-kinks/lola#bridge,"1,5,4,1"
Adam Sandler,Somebody Kill Me,Verse,http://www.hooktheory.com/theorytab/view/adam-sandler/somebody-kill-me#verse,"1,5,4,1"
Adam Sandler,Somebody Kill Me,Chorus,http://www.hooktheory.com/theorytab/view/adam-sandler/somebody-kill-me#chorus,"1,5,4,1"
Pink,Trouble,Intro and Verse,http://www.hooktheory.com/theorytab/view/pink/trouble#intro-and-verse,"1,5,4,1"
Queen,I Want To Break Free,Solo,http://www.hooktheory.com/theorytab/view/queen/i-want-to-break-free#solo,"1,5,4,1"
ABBA,Mamma Mia,Pre-Chorus,http://www.hooktheory.com/theorytab/view/abba/mamma-mia#pre-chorus,"1,5,4,1"
Tegan and Sara,I Was A Fool,Chorus,http://www.hooktheory.com/theorytab/view/tegan-and-sara/i-was-a-fool#chorus,"1,5,4,1"
Tegan and Sara,I Was A Fool,Bridge,http://www.hooktheory.com/theorytab/view/tegan-and-sara/i-was-a-fool#bridge,"1,5,4,1"
Glee,Loser Like Me,Chorus,http://www.hooktheory.com/theorytab/view/glee/loser-like-me#chorus,"1,5,4,1"
Lorde,Royals,Chorus,http://www.hooktheory.com/theorytab/view/lorde/royals#chorus,"1,5,4,1"
They Might Be Giants,Sensurround,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/they-might-be-giants/sensurround#verse-and-pre-chorus,"1,5,4,1"
Eli Young Band,Crazy Girl,Chorus,http://www.hooktheory.com/theorytab/view/eli-young-band/crazy-girl#chorus,"1,5,4,1"
Big Star,September Gurls,Chorus,http://www.hooktheory.com/theorytab/view/big-star/september-gurls#chorus,"1,5,4,1"
Patent Pending,Hey Mario,Chorus,http://www.hooktheory.com/theorytab/view/patent-pending/hey-mario#chorus,"1,5,4,1"
The La's,There She Goes,Intro,http://www.hooktheory.com/theorytab/view/the-las/there-she-goes#intro,"1,5,4,1"
The La's,There She Goes,Chorus,http://www.hooktheory.com/theorytab/view/the-las/there-she-goes#chorus,"1,5,4,1"
Bastille,Pompeii,Chorus,http://www.hooktheory.com/theorytab/view/bastille/pompeii#chorus,"1,5,4,1"
Jimmy Eat World,The Middle,Intro and Verse,http://www.hooktheory.com/theorytab/view/jimmy-eat-world/the-middle#intro-and-verse,"1,5,4,1"
Johnny Cash,Ring of Fire,Chorus,http://www.hooktheory.com/theorytab/view/johnny-cash/ring-of-fire#chorus,"1,5,4,1"
Lynyrd Skynyrd,Sweet Home Alabama,Intro,http://www.hooktheory.com/theorytab/view/lynyrd-skynyrd/sweet-home-alabama#intro,"1,5,4,1"
Van Morrison,Gloria,Intro,http://www.hooktheory.com/theorytab/view/van-morrison/gloria#intro,"1,5,4,1"
Evermore,Running,Pre-Chorus,http://www.hooktheory.com/theorytab/view/evermore/running#pre-chorus,"1,5,4,1"
Fleetwood Mac,Don't Stop,Verse,http://www.hooktheory.com/theorytab/view/fleetwood-mac/dont-stop#verse,"1,5,4,1"
Bruce Rowland,Jessica's Theme,Intro and Verse,http://www.hooktheory.com/theorytab/view/bruce-rowland/jessicas-theme#intro-and-verse,"1,5,4,1"
Bachman-Turner Overdrive,You Ain't Seen Nothing,Chorus,http://www.hooktheory.com/theorytab/view/bachman-turner-overdrive/you-aint-seen-nothing#chorus,"1,5,4,1"
Disney,Kiss The Girl,Verse,http://www.hooktheory.com/theorytab/view/disney/kiss-the-girl#verse,"1,5,4,1"
Simon and Garfunkel,The Boxer,Verse,http://www.hooktheory.com/theorytab/view/simon-and-garfunkel/the-boxer#verse,"1,5,4,1"
Bill Haley and His Comets,Rock Around The Clock,Verse,http://www.hooktheory.com/theorytab/view/bill-haley-and-his-comets/rock-around-the-clock#verse,"1,5,4,1"
Enya,Caribbean Blue,Verse,http://www.hooktheory.com/theorytab/view/enya/caribbean-blue#verse,"1,5,4,1"
Neighborhood Annoyance ,ICE CREAM TRUCK,Solo,http://www.hooktheory.com/theorytab/view/neighborhood-annoyance-/ice-cream-truck#solo,"1,5,4,1"
Braken,To The Stars,Intro and Verse,http://www.hooktheory.com/theorytab/view/braken/to-the-stars#intro-and-verse,"1,5,4,1"
The Wanted,We Own The Night,Chorus,http://www.hooktheory.com/theorytab/view/the-wanted/we-own-the-night#chorus,"1,5,4,1"
Ray Parker Jr,Ghostbusters,Verse,http://www.hooktheory.com/theorytab/view/ray-parker-jr/ghostbusters#verse,"1,5,4,1"
Enya,May It Be,Verse,http://www.hooktheory.com/theorytab/view/enya/may-it-be#verse,"1,5,4,1"
Enya,Only Time,Bridge,http://www.hooktheory.com/theorytab/view/enya/only-time#bridge,"1,5,4,1"
The Who,Baba O'Riley,Intro and Verse,http://www.hooktheory.com/theorytab/view/the-who/baba-oriley#intro-and-verse,"1,5,4,1"
Enya,Orinico Flow,Intro and Verse,http://www.hooktheory.com/theorytab/view/enya/orinico-flow#intro-and-verse,"1,5,4,1"
Enya,Orinico Flow,Chorus,http://www.hooktheory.com/theorytab/view/enya/orinico-flow#chorus,"1,5,4,1"
UNiTE,Ai -'ation-,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/unite/ai--ation-#verse-and-pre-chorus,"1,5,4,1"
UNiTE,Ai -'ation-,Chorus,http://www.hooktheory.com/theorytab/view/unite/ai--ation-#chorus,"1,5,4,1"
John Denver,Take Me Home - Country Roads,Chorus,http://www.hooktheory.com/theorytab/view/john-denver/take-me-home---country-roads#chorus,"1,5,4,1"
nanobii,rainbow road,Chorus,http://www.hooktheory.com/theorytab/view/nanobii/rainbow-road#chorus,"1,5,4,1"
The Kooks,Naive,Chorus,http://www.hooktheory.com/theorytab/view/the-kooks/naive#chorus,"1,5,4,1"
Kid Rock,Picture ft Sheryl Crow,Chorus,http://www.hooktheory.com/theorytab/view/kid-rock/picture-ft-sheryl-crow#chorus,"1,5,4,1"
Boards of Canada,Roygbiv,Verse,http://www.hooktheory.com/theorytab/view/boards-of-canada/roygbiv#verse,"1,5,4,1"
One Direction,Best Song Ever,Chorus,http://www.hooktheory.com/theorytab/view/one-direction/best-song-ever#chorus,"1,5,4,1"
Lady Gaga,You And I,Pre-Chorus,http://www.hooktheory.com/theorytab/view/lady-gaga/you-and-i#pre-chorus,"1,5,4,1"
Lady Gaga,You And I,Chorus,http://www.hooktheory.com/theorytab/view/lady-gaga/you-and-i#chorus,"1,5,4,1"
Betty Who,Somebody Loves You,Chorus,http://www.hooktheory.com/theorytab/view/betty-who/somebody-loves-you#chorus,"1,5,4,1"
Forever The Sickest Kids,Whoa Oh Me vs Everyone,Chorus,http://www.hooktheory.com/theorytab/view/forever-the-sickest-kids/whoa-oh-me-vs-everyone#chorus,"1,5,4,1"
Starbomb,Luigi's Ballad,Intro,http://www.hooktheory.com/theorytab/view/starbomb/luigis-ballad#intro,"1,5,4,1"
Fergie,Big Girls Don't Cry,Chorus,http://www.hooktheory.com/theorytab/view/fergie/big-girls-dont-cry#chorus,"1,5,4,1"
Above and Beyond,Good For Me - Ambient Mix -,Intro,http://www.hooktheory.com/theorytab/view/above-and-beyond/good-for-me---ambient-mix--#intro,"1,5,4,1"
Above and Beyond,Good For Me - Ambient Mix -,Verse,http://www.hooktheory.com/theorytab/view/above-and-beyond/good-for-me---ambient-mix--#verse,"1,5,4,1"
Above and Beyond,Good For Me - Ambient Mix -,Chorus,http://www.hooktheory.com/theorytab/view/above-and-beyond/good-for-me---ambient-mix--#chorus,"1,5,4,1"
The White Stripes,I Want to Be the Boy to Warm Your Mother's Heart,Verse,http://www.hooktheory.com/theorytab/view/the-white-stripes/i-want-to-be-the-boy-to-warm-your-mothers-heart#verse,"1,5,4,1"
The Black Keys,Gold On The Ceiling,Verse,http://www.hooktheory.com/theorytab/view/the-black-keys/gold-on-the-ceiling#verse,"1,5,4,1"
The Black Keys,Gold On The Ceiling,Intro,http://www.hooktheory.com/theorytab/view/the-black-keys/gold-on-the-ceiling#intro,"1,5,4,1"
Phil Collins,Can't Stop Loving You,Chorus,http://www.hooktheory.com/theorytab/view/phil-collins/cant-stop-loving-you#chorus,"1,5,4,1"
Driftless Pony Club,House of 1982- Built Like A Ship,Verse,http://www.hooktheory.com/theorytab/view/driftless-pony-club/house-of-1982--built-like-a-ship#verse,"1,5,4,1"
The White Stripes,Ball and Biscuit,Verse,http://www.hooktheory.com/theorytab/view/the-white-stripes/ball-and-biscuit#verse,"1,5,4,1"
Lindsey Stirling,Mirror Haus,Verse,http://www.hooktheory.com/theorytab/view/lindsey-stirling/mirror-haus#verse,"1,5,4,1"
Dave Matthews and Tim Reynolds,Number 41,Chorus,http://www.hooktheory.com/theorytab/view/dave-matthews-and-tim-reynolds/number-41#chorus,"1,5,4,1"
John Mayer,Half of My Heart,Chorus,http://www.hooktheory.com/theorytab/view/john-mayer/half-of-my-heart#chorus,"1,5,4,1"
Lorde,Royals,Pre-Chorus,http://www.hooktheory.com/theorytab/view/lorde/royals#pre-chorus,"1,5,4,1"
Smokey Mountain,Da Coconut Nut,Chorus,http://www.hooktheory.com/theorytab/view/smokey-mountain/da-coconut-nut#chorus,"1,5,4,1"
Heart,What About Love,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/heart/what-about-love#verse-and-pre-chorus,"1,5,4,1"
Kyle Justin,The Angry Video Game Nerd Theme Song,Chorus,http://www.hooktheory.com/theorytab/view/kyle-justin/the-angry-video-game-nerd-theme-song#chorus,"1,5,4,1"
Panda Bear,Bros,Chorus,http://www.hooktheory.com/theorytab/view/panda-bear/bros#chorus,"1,5,4,1"
Veronica Maggio,Jag kommer,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/veronica-maggio/jag-kommer#verse-and-pre-chorus,"1,5,4,1"
Ray Parker Jr,Ghostbusters,Instrumental,http://www.hooktheory.com/theorytab/view/ray-parker-jr/ghostbusters#instrumental,"1,5,4,1"
London Grammar,Strong,Chorus,http://www.hooktheory.com/theorytab/view/london-grammar/strong#chorus,"1,5,4,1"
MIKA,Popular Song ft Ariana Grande,Chorus,http://www.hooktheory.com/theorytab/view/mika/popular-song-ft-ariana-grande#chorus,"1,5,4,1"
Sonia Leigh,Put It In Your Pocket,Chorus,http://www.hooktheory.com/theorytab/view/sonia-leigh/put-it-in-your-pocket#chorus,"1,5,4,1"
Nine Days,Absolutely,Chorus,http://www.hooktheory.com/theorytab/view/nine-days/absolutely#chorus,"1,5,4,1"
They Might Be Giants,Can't Keep Johnny Down,Verse,http://www.hooktheory.com/theorytab/view/they-might-be-giants/cant-keep-johnny-down#verse,"1,5,4,1"
The White Stripes,You Don't Know What Love Is,Verse,http://www.hooktheory.com/theorytab/view/the-white-stripes/you-dont-know-what-love-is#verse,"1,5,4,1"
The Gaslight Anthem,The Navesink Banks,Verse,http://www.hooktheory.com/theorytab/view/the-gaslight-anthem/the-navesink-banks#verse,"1,5,4,1"
